Node,Degree Centrality
CNR1,0.26582278481012656
CNR2,0.24050632911392406
TRPV1,0.16455696202531644
CBDV,0.11392405063291139
CBN,0.11392405063291139
CBC,0.11392405063291139
CBG,0.11392405063291139
NAAA,0.11392405063291139
CBD,0.11392405063291139
THCV,0.11392405063291139
DAGLA,0.10126582278481013
2-AG,0.08860759493670886
OEA,0.08860759493670886
TRPV4,0.06329113924050633
TRPV3,0.06329113924050633
TRPV2,0.06329113924050633
AEA,0.06329113924050633
PPARG,0.06329113924050633
PTGS2,0.06329113924050633
12-HETE,0.06329113924050633
CBGA,0.05063291139240506
ALOX5,0.05063291139240506
ALOX15,0.05063291139240506
FAAH,0.05063291139240506
GPR55,0.05063291139240506
AM251,0.05063291139240506
JWH-133,0.0379746835443038
PPARA,0.0379746835443038
PPARD,0.0379746835443038
GPR119,0.02531645569620253
GPR18,0.02531645569620253
Δ9-THC,0.02531645569620253
JWH-018,0.02531645569620253
HU-210,0.02531645569620253
MGLL,0.02531645569620253
AA,0.02531645569620253
Δ8-THC,0.02531645569620253
NAGly,0.02531645569620253
"WIN55,212-2",0.02531645569620253
"WIN55,212-3",0.02531645569620253
LEA,0.02531645569620253
NADA,0.02531645569620253
HU-211,0.02531645569620253
PGD2,0.02531645569620253
"CP55,940",0.02531645569620253
SR144528,0.02531645569620253
DAGLB,0.012658227848101266
NR1I2,0.012658227848101266
LTB4,0.012658227848101266
JWH-073,0.012658227848101266
SR141716A,0.012658227848101266
ALOX12,0.012658227848101266
PGA2,0.012658227848101266
PEA,0.012658227848101266
THCA,0.012658227848101266
CBDA,0.012658227848101266
15-HETE,0.012658227848101266
PGE2,0.012658227848101266
NAPEPLD,0.0
PLCB1,0.0
PLCE1,0.0
Noladin,0.0
FABP7,0.0
HSPA1A,0.0
ABHD6,0.0
Virodhamine,0.0
GNAI1,0.0
GNAI2,0.0
GNAI3,0.0
ARRB1,0.0
GRK2,0.0
AKT1,0.0
SLC22A5,0.0
SLCO2B1,0.0
ABHD12,0.0
FABP1,0.0
FABP3,0.0
FABP5,0.0
CBL,0.0
5-HPETE,0.0
