Node,Combined Perturbation Top 1 Degree Centrality,Combined Perturbation Top 3 Degree Centrality,Combined Perturbation Top 1 Betweenness Centrality,Combined Perturbation Top 3 Betweenness Centrality
12-HETE,0.621380662606635,0.7537901631672518,0.621380662606635,0.040387346098568394
15-HETE,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
2-AG,-0.11870385871314415,-0.040139198095416696,-0.11870385871314415,0.28471839562293977
AA,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
ABHD12,0.6213806626066359,0.7537901631672519,0.6213806626066359,0.8955460194338676
ABHD6,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
AEA,-0.41473766724105693,-0.9134614954843523,-0.41473766724105693,-0.8147713272367305
AKT1,0.621380662606635,0.7537901631672518,0.621380662606635,0.040387346098568394
ALOX12,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
ALOX15,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
ALOX5,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
AM251,-0.6737672497029794,-1.3302744101472534,-0.6737672497029794,-1.24235066390438
ARRB1,-0.6737672497029794,0.059101972062416984,-0.6737672497029794,-0.17340232223525603
CBC,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
CBD,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
CBDA,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
CBDV,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
CBG,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
CBGA,-0.6737672497029794,0.059101972062416984,-0.6737672497029794,-0.17340232223525603
CBN,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
CNR2,0.4055226772216999,,0.4055226772216999,0.7173879624890138
"CP55,940",-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
DAGLA,0.2975936845292316,0.5801181153910434,0.2975936845292316,0.628308934016587
DAGLB,-0.026193293548171806,0.4064460676148345,-0.026193293548171806,0.36107184859930586
FAAH,0.34871794422566377,0.31503972667998764,0.34871794422566377,0.445462507152131
FABP1,0.6213806626066358,0.753790163167252,0.6213806626066358,-1.24235066390438
FABP3,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
FABP5,0.6213806626066358,0.753790163167252,0.6213806626066358,-0.17340232223525603
FABP7,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
GNAI1,-0.41473766724105693,-0.35771094260048414,-0.41473766724105693,0.040387346098568394
GNAI2,-0.6737672497029794,0.059101972062416984,-0.6737672497029794,-0.17340232223525603
GNAI3,-0.6737672497029794,0.059101972062416984,-0.6737672497029794,-0.17340232223525603
GPR119,0.621380662606635,0.7537901631672518,0.621380662606635,0.040387346098568394
GPR18,-0.026193293548171806,-0.28824212349000067,-0.026193293548171806,-0.17340232223525603
GPR55,0.2975936845292316,0.23277401983862547,0.2975936845292316,0.09383476318202451
GRK2,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
HU-210,-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
HU-211,-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
JWH-018,-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
JWH-073,0.6213806626066358,-2.0249626012520885,0.6213806626066358,0.8955460194338677
JWH-133,-1.1054832204728517,-2.0249626012520885,-1.1054832204728517,-1.9549828916837961
LEA,-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-3.3802473472426278
LTB4,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
MGLL,0.1896646918367638,0.29066470243069514,0.1896646918367638,0.18291379165445162
NAAA,0.6213806626066359,0.7537901631672519,0.6213806626066359,0.5666388373818299
NADA,0.6213806626066358,-0.6355862190424181,0.6213806626066358,-1.24235066390438
NAGly,0.6213806626066358,-0.6355862190424181,0.6213806626066358,-1.24235066390438
NAPEPLD,0.10332149768278906,0.19803961028338377,0.10332149768278906,0.040387346098568394
NR1I2,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
OEA,-0.11870385871314415,-0.43710387872675094,-0.11870385871314415,-0.936936851998916
PEA,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
PGA2,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
PGD2,0.6213806626066358,0.753790163167252,0.6213806626066358,-1.24235066390438
PGE2,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
PLCB1,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
PLCE1,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
PPARA,0.6213806626066359,0.5222274327989738,0.6213806626066359,
PPARD,0.6213806626066359,0.7537901631672519,0.6213806626066359,0.18291379165445162
PPARG,0.6213806626066357,0.7537901631672521,0.6213806626066357,0.8955460194338678
PTGS2,0.621380662606636,0.7537901631672523,0.621380662606636,0.5068375315541865
SR141716A,-4.559210986631826,-2.0249626012520885,-4.559210986631826,-3.3802473472426278
SR144528,-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
THCA,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
THCV,0.04575936824680669,-0.1724607583058614,0.04575936824680669,-0.054630284272020026
TRPV1,0.3746858221667091,,0.3746858221667091,
TRPV2,0.621380662606635,0.7537901631672518,0.621380662606635,0.8955460194338675
TRPV3,0.621380662606635,0.7537901631672518,0.621380662606635,0.8955460194338675
TRPV4,0.6213806626066359,0.29066470243069514,0.6213806626066359,0.18291379165445162
"WIN55,212-2",-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
"WIN55,212-3",-1.9689151620125953,-2.0249626012520885,-1.9689151620125953,-1.24235066390438
Δ8-THC,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
Δ9-THC,0.6213806626066358,0.753790163167252,0.6213806626066358,0.8955460194338677
