Node,Protein Protein Only Perturbation Top 1 Degree Centrality,Protein Protein Only Perturbation Top 3 Degree Centrality,Protein Protein Only Perturbation Top 1 Betweenness Centrality,Protein Protein Only Perturbation Top 3 Betweenness Centrality
ABHD12,-1.0619877034041492,-0.9821138790266387,-1.0987989804353733,-1.0605650401293758
ABHD6,-1.0660803399941103,-0.9807581460968345,-0.693724305454928,-0.652119795677314
AKT1,-1.058767923221225,-0.9842830874217215,-1.4071211192033806,-1.401463486848554
ALOX12,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
ALOX15,0.9611447891415611,0.3732325471194742,0.24840800226453624,0.25024365256654457
ALOX5,0.75800608744423,-0.481132972429385,-0.6921600436522576,-1.3967308879234697
ARRB1,-1.0602667673321722,-0.9842836462824173,-1.4071479246728018,-1.4014634868582758
CNR1,-1.0619737973166998,,,
CNR2,-1.0602667645045751,-0.9842836450606319,-1.4071479214456104,-1.4014634835540445
DAGLA,-1.0712667629059327,-0.9810894905390131,0.24840800226453624,0.25024365256654457
DAGLB,-1.0639087872662443,-0.9814284759103673,-0.9382976941223671,-0.8962161047556265
FAAH,,,1.1176650358017917,1.0533029623964736
FABP1,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
FABP3,-0.05586624990175221,-0.30504037581974774,0.24778666056793464,0.24966962875679935
FABP5,-0.05586624990175221,-0.30504037581974774,0.24778666056793464,0.24966962875679935
FABP7,-1.0712667629059327,-0.9810894905390131,0.24840800226453624,0.25024365256654457
GNAI1,-1.058777237321638,-0.9842836445462994,-1.407147920971247,-1.4014634829691204
GNAI2,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
GNAI3,-1.0602667644749977,-0.9842836450548551,-1.407147923055683,-1.4014634852026449
GPR119,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
GPR18,-0.05586624990175221,-0.30504037581974774,0.24778666056793464,0.24966962875679935
GPR55,-1.0575164770384995,,-1.3635795379836808,-1.3494613390602848
GRK2,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
HSPA1A,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
MGLL,-1.068524887922051,-0.9804105615709247,-0.3207631509360359,-0.2893297210852334
NAAA,-1.0660699120071409,-0.9807596419148868,-0.695313441308862,-0.6536657663228739
NAPEPLD,-1.0602817373995896,-0.9834846375591573,-1.304801367615552,-1.2853876505734656
NR1I2,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
PLCB1,0.9611447891415611,0.3732325471194742,0.24840800226453624,0.25024365256654457
PLCE1,0.8563142337196286,-0.160834573892328,-0.3223857945346877,-0.2908680705253457
PPARA,-1.0433320310174619,-0.975806394817813,-0.9369140509171812,
PPARD,-0.10609943761386172,-0.5706207589507908,-0.3223887376123233,-0.2908708176503954
PPARG,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
PTGS2,0.8569089624204298,-0.1578072539295856,-0.3191497268658158,
SLC22A5,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
SLCO2B1,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
TRPV1,-1.0587917258603163,-0.983719937160717,-1.3403128511992322,-1.3236923509511793
TRPV2,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
TRPV3,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
TRPV4,1.0715019774880343,1.2516253781479745,1.1176650358017917,1.0533029623964736
