Node,Protein Chemical Only Perturbation Top 1 Degree Centrality,Protein Chemical Only Perturbation Top 3 Degree Centrality,Protein Chemical Only Perturbation Top 1 Betweenness Centrality,Protein Chemical Only Perturbation Top 3 Betweenness Centrality
12-HETE,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
15-HETE,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
2-AG,-0.09541779028512812,0.027371470756608708,-0.09541779028512812,-0.09218621468868714
AA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
AEA,-0.3640011999766018,-0.7611875677076042,-0.3640011999766018,-0.3956420834893522
ALOX12,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
ALOX15,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
ALOX5,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
AM251,-0.5990116834566401,-1.1375452906109786,-0.5990116834566401,-1.3249756816913891
CBC,0.05379521509902326,-0.09210717143493864,0.05379521509902326,0.07640037908946022
CBD,0.05379521509902326,-0.09210717143493864,0.05379521509902326,-0.2186261600222975
CBDA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
CBDV,0.05379521509902326,-0.09210717143493864,0.05379521509902326,-0.2186261600222975
CBG,0.05379521509902326,-0.09210717143493864,0.05379521509902326,0.07640037908946022
CBGA,-0.5990116834566401,0.11698045240026934,-0.5990116834566401,0.0026437443115207874
CBN,0.05379521509902326,-0.09210717143493864,0.05379521509902326,0.07640037908946022
CNR2,0.576040733943554,,0.576040733943554,
"CP55,940",-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
DAGLA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
DAGLB,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
FAAH,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
GPR119,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
GPR18,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
GPR55,0.5760407339435542,0.7442433239058932,0.5760407339435542,
HU-210,-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
HU-211,-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
JWH-018,-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
JWH-073,0.5760407339435542,-1.7648081621166023,0.5760407339435542,-1.9887853946928435
JWH-133,-0.990695822590039,-1.7648081621166023,-0.990695822590039,-1.103705777357571
LEA,-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-0.661165968689934
LTB4,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
MGLL,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
NAAA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129757
NADA,0.5760407339435542,-0.5102824191053545,0.5760407339435542,0.6664534573129756
NAGly,0.5760407339435542,-0.5102824191053545,0.5760407339435542,0.6664534573129756
NR1I2,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
OEA,-0.09541779028512812,-0.33106445581803345,-0.09541779028512812,-0.09218621468868714
PEA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
PGA2,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
PGD2,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
PGE2,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
PPARA,0.5760407339435544,0.7442433239058931,0.5760407339435544,0.6664534573129755
PPARD,0.5760407339435544,0.7442433239058931,0.5760407339435544,0.6664534573129755
PPARG,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
PTGS2,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
SR141716A,-4.124168935657225,-1.7648081621166023,-4.124168935657225,-1.9887853946928435
SR144528,-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
THCA,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
THCV,0.05379521509902326,-0.09210717143493864,0.05379521509902326,-0.2186261600222975
TRPV1,0.5760407339435543,,0.5760407339435543,0.6664534573129755
TRPV2,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
TRPV3,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
TRPV4,0.5760407339435535,0.744243323905893,0.5760407339435535,0.6664534573129753
"WIN55,212-2",-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
"WIN55,212-3",-1.7740641008568354,-1.7648081621166023,-1.7740641008568354,-1.9887853946928435
Δ8-THC,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
Δ9-THC,0.5760407339435542,0.7442433239058932,0.5760407339435542,0.6664534573129756
