Node,Degree Centrality
CNR1,0.43037974683544306
CNR2,0.3037974683544304
TRPV1,0.26582278481012656
FAAH,0.24050632911392406
DAGLA,0.20253164556962025
GPR55,0.20253164556962025
NAAA,0.16455696202531644
PPARA,0.1518987341772152
MGLL,0.1518987341772152
PTGS2,0.13924050632911392
NAPEPLD,0.12658227848101267
CBG,0.11392405063291139
CBD,0.11392405063291139
THCV,0.11392405063291139
PPARG,0.11392405063291139
CBDV,0.11392405063291139
CBC,0.11392405063291139
CBN,0.11392405063291139
GPR18,0.10126582278481013
DAGLB,0.10126582278481013
ALOX15,0.08860759493670886
OEA,0.08860759493670886
ABHD6,0.08860759493670886
ALOX5,0.08860759493670886
2-AG,0.08860759493670886
ABHD12,0.0759493670886076
TRPV4,0.0759493670886076
PPARD,0.0759493670886076
TRPV2,0.06329113924050633
GPR119,0.06329113924050633
AKT1,0.06329113924050633
TRPV3,0.06329113924050633
AEA,0.06329113924050633
GNAI1,0.06329113924050633
12-HETE,0.06329113924050633
PLCB1,0.05063291139240506
CBGA,0.05063291139240506
ARRB1,0.05063291139240506
FABP5,0.05063291139240506
AM251,0.05063291139240506
ALOX12,0.05063291139240506
GNAI2,0.05063291139240506
GNAI3,0.05063291139240506
JWH-133,0.0379746835443038
PGD2,0.02531645569620253
HU-211,0.02531645569620253
AA,0.02531645569620253
NADA,0.02531645569620253
FABP1,0.02531645569620253
FABP3,0.02531645569620253
SR144528,0.02531645569620253
"CP55,940",0.02531645569620253
JWH-018,0.02531645569620253
HU-210,0.02531645569620253
Δ9-THC,0.02531645569620253
GRK2,0.02531645569620253
"WIN55,212-3",0.02531645569620253
"WIN55,212-2",0.02531645569620253
NAGly,0.02531645569620253
Δ8-THC,0.02531645569620253
LEA,0.02531645569620253
NR1I2,0.012658227848101266
PLCE1,0.012658227848101266
FABP7,0.012658227848101266
PGA2,0.012658227848101266
JWH-073,0.012658227848101266
SR141716A,0.012658227848101266
PGE2,0.012658227848101266
LTB4,0.012658227848101266
PEA,0.012658227848101266
THCA,0.012658227848101266
CBDA,0.012658227848101266
15-HETE,0.012658227848101266
Noladin,0.0
SLCO2B1,0.0
SLC22A5,0.0
HSPA1A,0.0
Virodhamine,0.0
CBL,0.0
5-HPETE,0.0
